	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
'0	90.4	88.9	84.5	87.0	88.8	89.8	90.4	88.3	88.6	83.6	86.0	87.3	87.6	86.3	88.2	84.7	83.7	84.3	87.9	84.8	90.3	89.6	86.8	88.5	84.8	87.3	84.2	89.2	88.5	88.3	89.3	89.4	88.6	88.0	85.1	86.3	86.1	88.2	84.9	80.8	81.8	81.4
'1	6.8	8.2	9.6	9.4	8.2	8.3	6.4	8.7	10.1	10.0	9.3	8.2	9.0	9.0	8.5	10.2	8.0	10.4	9.3	6.7	8.5	7.9	7.8	10.1	8.2	8.9	7.7	7.9	8.4	7.9	8.4	7.9	8.4	8.9	10.6	10.2	9.4	7.9	12.6	16.0	14.9	12.8
'2	1.5	1.7	2.7	2.2	1.9	1.0	1.7	1.8	0.9	3.0	2.6	2.4	2.3	2.8	2.1	3.0	4.5	2.8	1.6	5.6	0.8	1.5	2.6	0.9	2.9	1.9	4.5	1.4	1.9	2.1	1.3	1.3	1.9	1.9	2.5	2.0	2.2	2.0	1.5	2.1	2.2	3.5
'3	0.4	0.5	1.1	0.7	0.6	0.3	0.5	0.5	0.2	1.1	0.9	0.8	0.7	0.8	0.5	0.9	1.5	0.9	0.5	1.3	0.2	0.5	0.9	0.3	1.2	0.7	1.4	0.5	0.6	0.7	0.4	0.4	0.6	0.6	0.8	0.7	0.9	0.6	0.4	0.5	0.5	1.1
'4	0.2	0.2	0.5	0.3	0.2	0.2	0.3	0.2	0.1	0.6	0.4	0.3	0.2	0.4	0.2	0.4	0.6	0.4	0.3	0.6	0.1	0.2	0.5	0.1	0.7	0.3	0.7	0.3	0.2	0.3	0.2	0.2	0.2	0.2	0.4	0.3	0.5	0.3	0.2	0.2	0.2	0.5
'5	0.1	0.1	0.4	0.2	0.1	0.1	0.2	0.1	0.0	0.4	0.3	0.2	0.1	0.2	0.1	0.2	0.4	0.3	0.1	0.3	0.0	0.1	0.3	0.1	0.4	0.2	0.4	0.2	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.2
'6	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.2	0.1	0.1	0.0	0.1	0.1	0.2	0.2	0.2	0.1	0.2	0.0	0.1	0.2	0.0	0.3	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1
'7	0.0	0.1	0.2	0.1	0.0	0.0	0.1	0.0	0.0	0.2	0.1	0.1	0.0	0.1	0.0	0.1	0.2	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1
'8	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.1
'9	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
